scientific_name,common_name,taxon_id,count_china,count_data
Abroscopus albogularis,棕脸鹟莺,116786,167,211
Accipiter nisus,雀鹰,5106,238,1137
Acridotheres cristatellus,八哥,14872,1150,1215
Acridotheres tristis,家八哥,204454,99,1200
Acrocephalus bistrigiceps,黑眉苇莺,116795,82,219
Acrocephalus orientalis,东方大苇莺,144928,147,292
Actinodura cyanouroptera,蓝翅希鹛,339876,119,242
Actitis hypoleucos,矶鹬,3978,411,1235
Aegithalos caudatus,北长尾山雀,7278,86,1209
Aegithalos concinnus,红头长尾山雀,7277,875,1059
Aegithalos glaucogularis,银喉长尾山雀,339693,545,545
Aethopyga christinae,叉尾太阳鸟,13428,273,421
Aethopyga gouldiae,蓝喉太阳鸟,13418,66,166
Aethopyga siparaja,黄腰太阳鸟,204458,80,547
Agropsar sturninus,北椋鸟,547201,67,166
Aix galericulata,鸳鸯,7106,763,1137
Alauda gulgula,小云雀,7350,80,187
Alcedo atthis,普通翠鸟,2599,1208,1170
Alcippe davidi,灰眶雀鹛,339817,71,72
Alcippe hueti,淡眉雀鹛,339818,202,216
Alophoixus pallidus,白喉冠鹎,14635,70,120
Amaurornis phoenicurus,白胸苦恶鸟,199,289,1208
Anarhynchus alexandrinus,环颈鸻,1505620,209,648
Anarhynchus leschenaultii,铁嘴沙鸻,1505629,79,295
Anas acuta,针尾鸭,6933,172,1018
Anas crecca,绿翅鸭,6937,465,1167
Anas platyrhynchos,绿头鸭,6930,1613,1174
Anas zonorhyncha,斑嘴鸭,72504,998,1210
Anastomus oscitans,钳嘴鹳,4775,59,1187
Anser albifrons,白额雁,7019,98,233
Anser anser,灰雁,7018,188,566
Anser cygnoides,鸿雁,7014,362,578
Anser indicus,斑头雁,7008,241,425
Anser serrirostris,短嘴豆雁,144423,67,116
Anthus cervinus,红喉鹨,13721,71,296
Anthus hodgsoni,树鹨,13724,698,1076
Anthus japonicus,黄腹鹨,1580267,100,197
Anthus richardi,理氏鹨,13726,68,180
Anthus roseatus,粉红胸鹨,13731,75,110
Anthus spinoletta,水鹨,13713,161,391
Apus apus,普通雨燕,6638,81,475
Apus nipalensis,小白腰雨燕,6633,121,346
Aquila chrysaetos,金雕,5074,55,240
Ardea alba,大白鹭,144455,709,1165
Ardea cinerea,苍鹭,4954,1312,1244
Ardea coromanda,牛背鹭,1585373,231,1181
Ardea intermedia,中白鹭,558445,212,1222
Ardea purpurea,草鹭,4951,123,1161
Ardeola bacchus,池鹭,4990,1312,1232
Arenaria interpres,翻石鹬,3938,71,380
Asio flammeus,短耳鸮,20315,54,230
Asio otus,长耳鸮,20307,71,279
Athene noctua,纵纹腹小鸮,19998,112,306
Aythya baeri,青头潜鸭,7053,87,92
Aythya ferina,红头潜鸭,7045,226,1138
Aythya fuligula,凤头潜鸭,7046,186,1198
Aythya nyroca,白眼潜鸭,7055,182,275
Bambusicola thoracicus,灰胸竹鸡,1209,115,180
Bombycilla garrulus,太平鸟,7429,85,1159
Bombycilla japonica,小太平鸟,7432,91,124
Botaurus sinensis,黄苇鳽,1583066,120,430
Botaurus stellaris,大麻鳽,5033,77,136
Bubo bubo,雕鸮,20059,60,97
Bucephala clangula,鹊鸭,6990,87,654
Butastur indicus,灰脸鵟鹰,5377,65,273
Buteo hemilasius,大鵟,5225,137,349
Buteo japonicus,普通鵟,486630,301,644
Butorides striata,绿鹭,62528,128,1180
Cairina moschata,疣鼻栖鸭,7120,119,367
Calidris acuminata,尖尾滨鹬,3844,99,158
Calidris alba,三趾滨鹬,3849,63,269
Calidris alpina,黑腹滨鹬,3857,151,517
